A level	상급학년시험
menticide	두뇌파괴/두뇌 살해
mention	언급하다/진술하다/이름을 들다
mentioned	상기한/언급한
mentor	경험/신용 있는 조언자
menu	식단/메뉴
menudriven	메뉴에 따라 조작하는 구조의
meow	야웅
meperidine	메페리딘
mephitic	악취 있는
mephitis	독기/악취/메피티스
meprobamate	정신 안정제의 일종
mercantile	상업의/무역의/돈에 눈이 어두운
mercantile agency	상업 흥신소
mercantile law	상법/상관습법
mercantile paper	약속어음/상업 어음/환어음 따위
mercantile system	중상주의
mercantilism	중상주의
mercaptan	메르캅탄/도시가스 착취제
mercenary	고용된/돈을 목적으로 일하는
mercer	포목상
mercerization	머서법
mercerize	머서법으로 처리하다
merchandise	상품
merchandiser	상인
merchandising	상품화 계획/효과적 판매 촉진책
merchant	상인/소매상인/도매상인/무역상인
merchant adventurer	모험적 상인
merchant bank	상인 은행
merchant marine	상선
merchant prince	호상
merchant seaman	상선 대원/상선 선원
merchant service	상선/해상 무역
merchant ship	상선
merchantable	팔리는/장사가 되는/시장성 있는
merchantman	상선/상인
merci	고맙습니다
merci beaucoup	대단히 감사합니다
merciful	자비로운
mercifully	관대히/자비롭게/고맙게도/다행히도/인정 많게
merciless	무자비한/용서없는
mercuer cell	수은 전지
mercurate	제2 수은염류
mercurial	수은의/기민한/수성의/쾌활한/마음이 변하기 쉬운
mercurial gauge	수은 압력계
mercurial ointment	수은 연고
mercurialism	수은 중독
mercuriality	변덕/쾌활/민활/흥분성/기지가 풍부함
mercurialize	활발하게 하다/스은제로 치료하다/수은 증기를 쏘이다
mercuric	수은의/제2 수은의
mercuric chloride	승홍/염화 제2 수은
mercurize	수은과 화합시키다/수은으로 처리하다
mercurochrome	머큐로크롬
mercurous	제1 수은의
mercurous chloride	감홍/염화 제1 수은
mercury	머큐리신
mercury arc	수은 아크
mercury barometer	수은 기압계
mercury chloride	염화 수은
mercury contamination	수은 오염
mercury poisoning	수은 중독
mercury pollution	수은 공해
mercuryvapour lamp	수은등
mercy	행운/연민/자비/고마움
mercy flight	구급 비행
mercy killing	안락사
mercy sakes	강한 감탄을 나타내는 말
mercy seat	속죄소/하느님의 보좌
mercy stroke	최후의 일격
mere1	단순한/명색뿐인/에 지나지 않는
mere2	못/호수
merely	단지/다만
merengue	메렝게/메렝게를 추다
meretricious	야한/매춘부 같은
merganser	비오리
merge	합병하다/몰입케하다
mergee	합병의 상대방
mergence	합병/융합/몰입
merger	합동/합병
meridian	환경/정오/정점/장소/특성/자오선/전성기
meridian altitude	자오선 고도
meridional	자오선의/남부 유럽의
meringue	머랭/설탕과 달걀 흰자위로 만든 푸딩의 거죽
merino	메리노양/메리노나사
meristem	분열 조직
merit	공로/장점/공죄/공적/가치/취할점/뛰어남
merit bonus	능률제 보너스
merit increase	능률제 승급
merit rating	인사 고과/근무 평정
merit shop	엘리트 숍
merit system	실적제/실력 본위 제도
merit syster	능력 본위 임용제도
merited	당연한/상응한/가치 있는
meritocracy	실력사회/수재 교육제/엘리트 지배층
meritocrat	실력자/엘리트
meritorious	가치 있는/공적 있는/칭찬할 만한
merl	인어/여자 수영 선수
merlin	쇠황조롱이
merlon	총안을 낸 보루의 돌출부
merluza	메를루사
mermaid	인어/여자 수영 선수/수영 잘하는 여자
merman	인어/남자 수영 선수
meroblast	부분할/부분 할란
merohedral	결면된
merolect	중층 방언
merope	메토프
meropia	부분맹
merovingian	메로빙 왕조의
merozoite	낭충/메로조이트
merrily	즐겁게/흥겹게/명랑하게
merriment	유쾌/환락/웃고 즐기기/흥겹게 떠들기
merriness	유쾌/명랑
merry	거나한/즐거운/흥겨운/유쾌한/명랑한
merry dancers	북극광
merry england	즐거운 영국
merry men	부하/종자
merryandrew	어릿광대/돌팔이 장사꾼의 앞잡이
merrygoround	회전목마
merrymaker	마시고/흥겹게 떠들어대는 사람
merrymaking	술잔/환락
mesa	대지/봉우리가 평평한 산
mesalliance	신분이 서로 다른 결혼
mescal	메스칼 술/선인장의 일종/먹으면 환각 증상을 일으킴
mescal button	메스칼 선인장의 정부
mescaline	메스칼린
meseems	생각되다
mesencephalon	중뇌
mesentery	장간막
mesh	맞물림/그물코/그물올가미
meshuga	미친/머리가 돈
meshugazine	반권위적/풍자적인 잡지
meshwork	그물/그물 세공
meshy	그물코로 된/그물 세공의
mesial	정중의/근심의/중간자/중앙의/중간의
mesmeric	최면의
mesmerism	매혹시키다/홀리게 하다/최면술을 걸다
mesmerization	최면 상태/최면술의 시술
mesmerize	매혹하다/감화하다/놀라게 하다/최면술을 걸다
mesne	중간의/중간 영장의 뜻
mesocyclone	중형 저기압/메조사이클론
mesoderm	중배엽
mesolithic	중석기 시대의
mesomorph	중등 체형
mesomorphic	중간상의/중배엽혀의/중생 식물적인
meson	중간자/정중면/종행면
meson factory	중간자 공장/종간자 발생 장치
mesopelagic	중심해에 서식하는
mesophile	중온균
mesophyll	엽육
mesophyte	중생 식물/적듄 식물
mesoscale	중간 규모의
mesoscaphe	중심해 잠수정
mesosphere	중간층
mesothrax	중흉
mesotron	중간자
mesozoic	중생대
mesquite	콩과 식물의 일종
mess	혼란/잡탕/실책/북새/한끼분/혼합식/회식 동료
mess hall	식당
message	통신/소식/신탁/전언/대통령 교서
message switching	메시지 교환
message unit	통화도/통화단위
messaline	얇은 능직 비단
messboy	식당 급사
messdeck	하깁판
messenger	선구/전조/사자/심부름꾼/연줄에 달아 바람에 울게 하는 종이
messenger RNA	메신저 리보 핵산
messiah	예수/구세주/메시아
messianism	절대적 지지/메시아 신앙/메시아의 천직
messieurs	제군/여러분
messkit	휴대용 식기 세트
messmate	회식 동료
messtin	반합/휴대식기
messuage	가옥
messup	혼란/실패/혼잡/분규/실책
messy	더러운/어질러진
mestizo	메스티소
met1	과거 분사
met2	기상청/일기예보
metabasis	증변/전이/주제 전이
metabolic	대사의
metabolism	신진대사/대사작용
metabolite	대사 산물/신진 대사에 필요한 물질
metabolize	신진 대사시키다/물질 대사로 변화시키다
metacarpal	장골/장부의
metacarpus	장골/장부
metacenter	부력/기울심
metacentric	경심
metacommunication	초 커뮤니케이션
metafemale	초자
metafiction	메타픽션
metagalactic	전우주의
metagalaxy	전우주
metage	계량/검량/검량세
metagenesis	순정 세대 교번
metagenetic	순정 세대 교번의
metal	금속/소질/레일/밤자갈
metal detector	금속 탐지기
metal fatigue	금속의 피로
metal ski	메탈 스키
metal spraying	금속 용사
metal tape	메탈 테이프
metalanguage	실험용 언어/언어 분석용 언어
metalinguistics	후단 언어학
metallic	엄한/금속의/냉철한
metallic currency	경화
metallic road	포장 도로
metallic soap	그속 비누
metallic sound	금속음
metallicize	금속화 하다
metalliferous	금속을 함유한
metalline	경화하다/금속화하다
metallization	금속화/고무의 경화
metallize	금속화하다/고무를 경화하다
metalloenzyme	금속 효소
metallograph	금속 현미경/금속 표면 확대도
metallography	금상학/금속 조직학
metalloid	비금속/금속 같은
metallophone	철금
metallurgical	야금의
metallurgy	야금술/야금학
metalware	금속 제품
metalwork	금속 세공
metalworker	금속 세공인
metalworking	금속 가공
metamale	초웅
metamer	이성체
metamere	체절/분열편
metameric	체절의/구조이성의/조건 등색의 을 나타내는
metamerism	체절제/구조 이성/조건 등색
metamorphic	변형의/변성의
metamorphism	변형/변성 작용
metamorphose	변질시키다/변형시키다
metamorphosis	변형/변태
metanalysis	이분석
metapausr	남성의 갱년기
metaphase	중기
metaphor	온유
metaphorical	은유의/은유적인
metaphrase	직역/축어역
metaphrast	전역자/번역자
metaphrastic	직역적인/축어적으로 번역한
metaphysic	원리 체계
metaphysical	공론의/추상적인/형이상학의
metaphysician	형이상학자
metaphysics	추상론/심리학/형이상학
metaplasm	후형질/원형질에 포함된 성형요소
metapolitics	정치 철학/공론 정치학
metapsychic	심령 연구의
metapsychics	심령 연구
metapsychology	초심리학
metasequoia	메타세쿼이어
metastable	준안정의/준안정 원자
metastasis	전이/급전환
metastasize	전이하다
metatarsal	척골
metatarsus	척골/척절/부전부/경골에서 지골에 이르는 부분
metathesis	치환/전환/자위/복분해/환부 전위
metathorax	후흉
metayage	분익 농법
metayer	분익 농부
metazoan	후생 동물
mete1	재다/할당하다
mete2	경계/경계석
metempiric	선험철학/초경험론/초경험론자
metempirical	선험적인/경험을 초월한
metempsychosis	윤회
metenkephalin	메트엔케팔린
meteor	유성
meteor shower	유성우
meteoric	운철/유성의/대기의/기상상의/유성과 같은/유성처럼 잠시 빛났다가 사라지는
meteorite	운석
meteoritics	유성학
meteorograph	기상 자동 기록기
meteoroid	유성체/운성체
meteorolite	운석
meteorological	기상의
meteorological satellite	기상 위성
meteorologist	기상학자
meteorology	기상/기상학
meter	박자/미터/운율/계량기
meter maid	주차 위반을 단속하는 여경관
meterage	계량/미터 사용료/미터로 측정한 양
metered mail	요금 별납 우편
methacrylic acid	메타크릴산
methadone	진통제/메타돈/헤로인 중독 치료제
methadone maintenance	메타돈 유치법
methamphetamine	메담페타민
methane	메탄
methane series	메탄 열
methanogen	메탄 생성 미생물
methanol	메탄올/메틸알코올
methaqualone	메타콸론
methedrine	메테드린
metheglin	벌꿀술/메테글린
methicillin	메티실린
methinks	...라고 생각되다
method	방식/질서/방법/순서
methodical	조직적인/규율바른/감리교파의
methodist	감리교도/까다로운 사람/엄격한 종교관을 가진사람/격식 위주의 융통성이 없는 사람
methodistic	엄격한/감리교파의/메서디스트파의/규율을 중히 여기는
methodize	방식화하다/순서를 세우다/질서 있게 하다
methodological	방법론의/방법론적인
methodologist	방법론 학자
methodology	방법론
methotrexate	메토트렉사트
methoxyflurane	메톡시플루란
meths	변성 알코올
methuselah	므두셀라/969세까지 살았다는 남자
methyl	메틸
methyl alcohol	메틸알코올
methyl blue	메틸청
methyl chloride	염화 메틸
methyl chloridep	염화 메틸
methylate	메틸을 섞다
methylated spirit	변성 알코올
methyldopa	메틸도파
methylene	메틸렌
methylic	메틸의/메틸을 함유한
methylmercury	메틸 수은
meticulous	옹졸한/지나치게 세심한
metier	전문/수법/직업/장기/메티에
metis	혼혈아
metonym	환유어
metonymic	환유적인
metonymy	환유
metoo	흉내내다
metooism	모방주의
metooist	모방주의자
metr	핵/자궁/핵심의 뜻
metrazol	메트라졸/강심제의 일종/정신병의 충격 요법에 쓴 강심제
metric	계량의/미터법의
metric system	미터법
metric ton	미터톤
metrical	운율의/측량의/측량법의
metricate	미터법화하다/미터법으로 이행하다
metrication	미터법 환산
metricize	운문으로 하다/운율적으로 하다/미터법으로 고치다/미터법으로 이행하다
metrics	운율학/작시법
metrist	작시가/운율학자
metro	지하철
metroland	지하철 지구/그 지구의 주민
metrology	도량형/도량형학
metromania	작시광
metronidazole	메트로니다졸
metronome	박절기
metronomic	메트로놈의/기계적으로 규칙바른
metropolis	수도/중심지/주요도시
metropolitan	수도의/대주교교구의
metropolitan area	도시권
metropolitan county	특별시/메트로폴리스주
metropolitan district	특별시 자치구
metropolitan police	수도경찰
mettle	정열/용기/성질/기질
mettlesome	위세좋은
meuniere	뫼니에르로 한
mewl	고양이처럼 울다/가냘픈 소리로 울다
mews	골목/마구간/아파트
mezuzah	메이즈자
mezz	마리화나
mezzanine	중이층/무대 밑
mezzo	반쯤/알맞게
mezzo forte	조금 강하게
mezzo piano	조금 약하게
mezzorelievo	방양각/반돋을 새김
mezzosoprano	메조소프라노
mezzotint	그물눈 동판술/그물눈 동판의 일종
miami	피한지
miaow	야옹
miasma	독기/말라리아병독
miasmal	유해한/독기의/해로운
mica	운모/돌비늘
mica schist	운모 편암
micaceous	운모의
micah	미가서/히브리의 예언자
micelle	미셀/교질 입자
michael	미가엘/남자의 이름
michaelmas	미가엘축일/9월 29일/영국에서는 청산일
michelangelo	건축가/조각가/이탈리아의 화가
michigan	미시간호/미국 중북부의 주
micing faucet	온수/냉수 혼합 수도 꼭지
mick	아일랜드 사람/로마 카톨릭 교도
micketmouse	배경 음악을 넣다
mickey	비웃다/곯리다/모욕하다
mickle	큰/다량/많음/많은
micr	미.../소.../100만분의1...의 뜻
micro	매우 작은/마이크로스커트
micro book	극소본/마이크로 북
microanalysis	미량 분석
microapore	소포자/작은 홀씨
microbalance	미량 천칭
microbar	마이크로바
microbe	세균/미생물
microbial	미생물의/세균에 의한
microbial cell	미생물의 균체
microbial transformation	미생물 변환
microbiology	미생물학
microbism	세균 감염
microbot	초소형 로봇
microburst	순간 돌풍
microbus	마이크로버스
microcamera	현미경 사진용 카메라
microcapsule	미소 캡슐
microcephalic	소두의/이상 소두의
microcephaly	소두/소두증
microchemistry	미량 화학
microchip	극미 박편/마이크로 칩
microchronometer	초시계
microcircuit	집적회로/소형회로
microclimate	소기후/미기후
microclimatology	소기후학
microclose	대단히 가까운/대단히 정밀한
micrococcus	단구균/미구균
microcode	마이크로코드
microcomputer	마이크로 컴퓨터
microcontinent	미소 대륙/대륙형 소암반
microcopy	축사하다
microcorneal lens	소각막 렌즈
microcosm	인간/소우주
microcosmic salt	인염
microcrack	미소 균열/미소 균열이 생기다
microcrystalline	미정질의
microculture	협역 문화/미크로 배양/현미경 관찰용의 배양
microcurie	마이크로퀴리
microdissection	현미 해부
microdistribution	미소 분포
microdot	환각제/마이크로도트
microearthquake	미소 지진
microeconomics	미시 경제학
microelectrode	미소 전극
microelectronic engineering	마이크로 전자 공학
microelectronics	극소 전자공학
microelement	미량 원소
microencapsulate	마이크로 캡슐에 넣다
microfarad	마이크로 패러드
microfiche	마이크로피시/여러장의 마이크로 필름을 수록한 시트 모양의 것
microfilament	미사/미세 섬유
microfilm	마이크로 필름
microform	마이크로폼/미소 축사/마이크로 필름으로 복사하다
microfossil	미화석
microgauss	마이크로가우스
micrograph	세사기/현미경 사진
micrography	세사술/현미경 검사/현미경 관찰물의 촬영
microgroove	가는홈
microinjection	현미 주사
microkid	컴퓨터를 좋아하는 아이
microlens	마이크로 렌즈/극소 사진 촬영용 렌즈
microlith	소결석/미소 석기
micrology	미물학/꼬치꼬치 캠
micromachine	마이크로 기계
micromachining	미세 기계 가공
micromanipulation	현미 조작
micromation	컴퓨터의 처리 결과를 마이크로필름에 출력하는 방법
micromechanics	마이크로 공학
micromesh	극미 그물코의/그물코가 아주 작은
micrometastasis	미소한 전이
micrometeorite	유성진
micrometeoroid	유성진/미소 유성체
micrometeorology	미기상학
micrometer	측미계/거리측정기/마이크로미터
micrometer caliper	측미기/측미 캘리퍼스
micrometer screw	측미 나사
micrometry	측미법
microminiature	초소형의
microminiaturize	초소형화하다
microminicomputer	마이크로 미니 컴퓨터
micromodule	초소형 전자 회로
micromorphology	미소 구조/미소 형태학
micron	미크롱
microneedle	현미 침
micronize	미소화하다
micronucleus	소핵/부핵
micronutrient	무기 염류/미량 영양소/미량 영양소의
microorganism	미생물
micropaleontology	미고생물학
microphobia	미생물 공포증
microphone	마이크
microphone boom	마이크로폰 붐
microphotograph	축소 사진/현미경 사진/마이크로 필름
microphysics	미시적 물리학
microphyte	박테리아/미소 식물
micropoint	가는 글씨용의/아주 가는 펜끝의
micropolis	소형 도시
micropopulation	미생물 개체군/협역 생물 집단
microporous	미공성의/미소한 구멍이 있는
microprint	축사사진
microprism	마이크로 프리즘
microprobe	마이크로 프로브
microprocess	마이크로 프로세서로 처리하다
microprocessing unit	초소형 연산 처리 장치
microprocessor	마이크로프로세서
microprogram	마이크로 프로그램/마이크로프로그램름을 짜넣다
micropublication	마이크로 출판물
micropublish	마이크로폼으로 출판하다
micropublishing	마이크로 출판/마이크로폼 간행
micropulsation	초단 맥동/자자기 미맥동
microquake	미소 지진
microreader	마이크로리더/투사하는 장치/마이크로필름을 확대
microrevolution	마이크로 혁명
microrocket	마이크로 로켓
microsample	현미 시료/물질의 극소 표본
microscience	마이크로 사이언스
microscope	현미경의/극히 미세한
microscopic	극미의/초소형의/현미경의/현미경적인/극히 작은/극히 미세한/현미경 같은
microscopist	현미경 사용자
microscopy	현미경 검사
microsecond	마이크로 초
microsection	현미 절편/검경용의 얇은 조각
microseism	맥동/미진동
microseismograph	미진계
microseismometry	미진 측정법
microskirt	마이크로스커트/미니스커트보다 짧음
microsleep	마이크로 수면
microslide	미소 슬라이드
microsome	미립체/마이크로솜
microspectroscope	현미 분광기
microsphere	미소 구체/마이크로스피어
microstate	미소 국가
microstructure	금속/미세 구조/광물 등의 구조
microstudy	특수 연구/극소 부분의 연구
microsurgery	현미 외과
microteaching	마이크로 티칭
microtektite	미소 텍타이트
microtext	마이크로텍스트
microtexture	미소 구조
microtheory	마이크로 이론
microtome	마이크로톰/검경용 메스/검경용의 얇은 조각을 써는 절단기
microtransmitter	초소형 전자 송신기
microtubule	미소관
microvillus	미융모/융모양 돌기
microwave	극초단파
microwave oven	전자 레인지
microwave sickness	극초단파 병
microworld	미소한 세계
microzyme	효모균/발효 미생물
micrurgy	현미 조작/현미 해부
micturate	방뇨하다/오줌누다
micturition	방뇨/요의 빈번
mid Victorian	근엄한/구식의/구식인 사람/빅토리아 왕조 중기의/빅토리아 왕조 중기의 사람/그 시기의 이상과 취미를 가진 사람
mid off	투수좌측 외야수/투수의 왼쪽에 있는 야수의 위치
mid on	투수우측 외야수/투수의 오른쪽에 있는 야수
mid1	중부의/중간의/중앙의
midafternoon	이른오후
midair	중천/공중/공중의
midbrain	중뇌
midcontinent	대륙의 중심부
midcourse	중간 궤도/궤도 중간의
midcourse correction	중간 궤도 수정
midcult	중간 문화
midday	정오
midden	패총/똥 무더기/쓰레기 더미
middle	중앙/중간/중부/허리/중명사몸통
middle C	중앙 다
middle age	중년
middle ages	중세
middle america	중미/중앙 아메리카
middle article	중간 기사
middle atlantic states	미국 중부 대서양 연안의 주
middle class	중류사회의
middle classes	중류 사회/중산 계급
middle course	중도
middle distance	중경/중거리
middle distillate	중간 유분
middle ear	중이
middle earth	지구/이승
middle east	중동
middle echelon	중간 관리직 계층
middle finger	가운데 손가락
middle game	중반전
middle ground	중도/중됴
middle guard	미들 가드
middle kingdom	중국/중기 고대 이집트 왕국
middle life	중년/중류의 생활
middle management	중간 관리자층
middle manager	중간 관리자
middle name	중간 이름
middle of the road	중용의/중도의
middle of the roader	중도파의 사람
middle passage	대서양 중앙 항로
middle path	중도
middle school	중학교
middle sized	중형의
middle states	중부 여러 주
middle term	중항/중명사
middle voice	중간태
middle watch	야간 당직
middleaged	중년의/중년에 알맞은
middleaged spread	중년이 되어 허리가 굵어지는 일
middlebrow	지식이 중간쯤 되는/어느 정도 교양이 있는
middlegrounder	중도파/중용을 택하는 사람
middleman	매개자/브로커/중매인/중간 상인/중용을 취하는 사람
middlemost	한복판의/한가운데의/한 가운데의
middlescence	중년기
middlesex	이전의 잉글랜드 남부의 주
middleweight	미들급의/미들급 선수/평균 체중을 가진/평균 체중을 가진 사람
middling	중등의/보통의
middy blouse	세일러식의 깃이 달린 블라우스
midengined	엔진이 차체의 중앙부에 달린
midfield	중앙부/필드 중앙부
midge	모기/꼬마/파리매
midget	꼬마/난쟁이/극소형의/아주 작은
midget submarine	특수 잠수함
midgut	중장
midheaven	중공/중천/자오선
midi	중간 길이의 스커트
midinette	여자
midiron	2번 아이언/중거리용 클럽
midiskirt	미드스커트
midland	중부의/내지의/육지로 둘러싸인/영국 중부 지방의
midleg	다리의 중간 부분/곤충의 둘째번 다리/다리의 중간 부분까지
midlife	중년
midlife crisis	중년의 위기
midline	중심선
midmashie	미드 매시
midmorning	오전의 중반
midmost	중심부에/한복판에/한복판의
midnight	자정/한밤중
midnight sun	한밤중의 태양
midnoon	정오/한낮
midocean ridge	중앙 해령/대양 산령
midpoint	중앙/중간/중심점
midrib	중륵/주맥
midriff	횡경막
midsection	중간부/중앙부/동체의 중간부
midsemester	학기 중간
midship	배의 중앙부의
midshipman	해군 소위 후보생
midsize	중형차/중형의
midst	중앙/한가운데
midstream	중류
midsummer	한여름
midsummer daisy	프랑스 데이지
midsummer day	6월 24일/세례자 요한 축일
midsummer madness	극도의 광란
midterm	중간의/중간 시험
midway	통로/복도/중도의/중간쯤에/오락장거리
midweek	수요일/주일 중간쯤/주일 중간쯤의
midweekly	주의 중간쯤의
midwife	산파/조산원
midwifery	조산학/조산술
midwinter	한겨울
midyear	중간 시험/학년 중간의/학년의 중간/1년의 중간 쯤/1년의 중간쯤의
mien	태도/풍채
miff	분개/부질 없는 싸움
miffy	화를 잘재는
might have been	그렇게 되었을지도 모를 일/더 훌륭해졌을는지도 모를 사람
might1	힘/육체적/정신적
mightily	힘차게
mighty	힘센/거대한/위대한/강대한/굉장한
mignon	우아한/작고 예쁘장한
mignonette	쑥색/목서초/가는 실로 뜬 레이스
migraine	편두통
migrant	철새/이주민/이주하는
migrate	이주하다/이동하다
migrating	이주하는/이동하는
migration	이주/원자 이동
migrator	철새/후조/이주자
migratory	이주하는
mike fink	갖가지 큰일을 해낸 영웅적 뱃사공
mike fright	마이크 공포증
mike1	마이크
mike2	게으름/빈둥거림/빈둥거리다/게으름 피우다
milady	마님/영국 귀부인에 대한 호칭
milch	젖이 나는
milch cow	돈줄/젖소
mild	순한/온화한/가벼운/달콤한/유순한
mild and bitter	단맛 쓴맛이 반반인 맥주
mild man nered	태도가 부드러운
mild steel	연강
mildcured	얼간한
milden	온화하게 하다
mildew	곰팡이/백분병균/곰팡나다
mildewy	곰팡이 난
mildly	다소/약간/부드럽게/상냥하게/온화하게
mildness	온화/온후/온난
mile	마일/760야드
mile marker	주간 간선 도로변에 있는 번호가 붙은 마일 표지
mile post	이정표/획기적 사건
mileage	마일수/여비 수당
mileage surcharge	항공 운임 할증금
mileometer	마일 주행 거리계
miler	1마일 경주 선수
milestone	이정표/마일 표/획기적인 사건
milfoil	서양톱풀
miliaria	한진/땀띠/속립진
miliary	좁쌀만한/좁쌀 모양의
milieu	환경/주위
milieu therapy	환경 요법
militancy	투지/교전 상태
militant	투사/호전적인/투쟁적인/싸우고 있는
militaria	군수품 수집물
militarily	군사적으로/군사적 입장에서
militarism	군국주의
militarist	군국주의자/군사 전문가
militaristic	군국주의의
militarization	군대화/군국화/군국주의 고취
militarize	군국화하다/전시 체제로 하다
military	군의/군용의/군인다운/군인의 경력이 있는
military academy	육군 사관 학교/군대식 사립 고교
military affairs	군사
military age	징병 연령
military attache	사관부 육군 무관
military band	군악대
military chest	군자금/군대 금고
military deserter	탈주병
military engineering	공병학/군사 공학
military government	군정/군사 정부
military hospital	육군 병원
military in dustrial complex	군/산업 복합체
military intelligence	군사 정보/군사 정보국
military law	군법
military march	군대 행진곡
military police	헌병대
military policeman	헌병
military school	육군 사관 학교/군대 조직의 사립 학교
military science	군사학/군사 교련
military service	병역
military testament	유언/군인의 구도
military top	전투 장루
militate	작용하다/크게 힘이 되다
militia	의용군/국민군
militiaman	향군/민병/국민병
militiawoman	여자 국민병
milium	비립종
milk	젖/유체/우유/젖 모양의 액체
milk and water	김빠진/멕없는/몹시 감상적인
milk bar	우유/밀크바/샌드위치 따위를 파는 가게
milk can	우유통
milk chocolate	밀크 초콜릿
milk fever	젖몸살/수유열
milk float	우유배달차
milk glass	젖빛 유리
milk jelly	과일이 든 밀크젤리
milk leg	고간백종
milk loaf	밀크빵
milk powder	분유
milk pudding	밀크 푸딩
milk punch	밀크 펀치
milk ranch	낙농장
milk round	우유 배달원의 배달 구역
milk run	폭격비행
milk shake	밀크 셰이크
milk sickness	우유병
milk snake	회색의 독없는 뱀
milk sugar	유당/락토오스
milk toast	밀크 토스트
milk token	우유표
milk tooth	젖니
milk train	새벽 완행 기차
milk vetch	자운영
milk wagon	죄수 호송차
milk white	유백색의
milker	젖소/착유기/젖 짜는 사람/젖을 내는 가축
milkiness	유약/유상/불투명/젖 같음
milking machine	착유기
milklivered	소심한
milkmaid	젖 짜는 여자/낙농장에서 일하는 여자
milkman	우유 장수/우유 배달인/젖 짜는 남자
milkshed	우유 공급 낙농지
milksop	유약한 사람
milktoast	나약한/미온적인/활기 없는/과단성 없는
milkwalk	우유 배달 구역
milkweed	유액을 분비하는 식물
milkwood	유즙을 분비하는 각종 열대 식물의 총칭
milkwort	영신초/애기풀
milky	젖의/젖 같은/무기력한
mill	사상가
mill wheel	물레바퀴/물방아 바퀴
mill1	공장/제분소/분쇄기/제분기/물방앗간/치고 받기/권투 경기
mill2	1센트의 10분의 1
millage	달러당 1000분의 1의 과세율
millboard	마분지/서적 표지용 판지
milldam	물방아용 둑
millefeuille	크림이 든 여러 층의 파이
millenarian	지복 천년의/지복 천년설을 믿는
millenarianism	황금 시대/천년 왕국설/지복 천년설
millenary	천년의/천개의/지복 천년의/그 설을 믿는
millennial	천년의/지복 천년의
millennium	지복 천년/천년의 기간
millepede	노래기
millepore	의혈산호
miller	공장주/제분업자/나방의 일종/물방앗간 주인
miller'sthumb	둑중개
millerite	침상 니켈광
millesimal	천분의 1
millet grass	나도겨이삭
millhand	직공/제분공/물방앗간의 일꾼
millhorse	연자매 말
millhouse	제분소/프레이즈반을 설치한 공장
milli	천분의 1의 뜻
milliampere	밀리암페어
milliard	10억
millibar	밀리바/기압의 단위
millicurie	밀리퀴리
millicycle	밀리사이클
milligram	밀리그램
milliliter	밀리 리터
millimeter	밀리미터
millimicron	밀리미크론/천분의 1미크론
milline	밀라인
milliner	부인 모자상
millinery	그 판매업/부인용 모자류
milling	무수/백만/백만 달러
milling cutter	프레이즈반용 커터
milling machine	축융기/프레이즈반
million	다수/무수/멋지게/수백만/훌륭하여/100만/100만 파운드
millionaire	백만 장자
millionfold	100만 배의 토
millionocracy	재벌정치
millirem	1렘의 천분의 1/방사선의 생체 실효 선량단위
millpond	물방아용 저수지
millrace	물방아용 물줄기
mills bomb9grenade)	난형 고성능 수류탄
millstone	맷돌
millstone grit	마석 경사암
milltail	배수로/물방아를 거쳐 나간 물
millwork	목공 제품/물방아의 기계
millwright	물방아 목수/기계 수리 기술자
milo	마일로
milor	나리/각하/영국 신사
milquetoast	겁쟁이/무기력 한 사람
milreis	밀레이스
milt	이리/비장
milter	산란기의 물고기 수컷
miltonic	그배우/몸짓 익살극/몸짓으로 연극을 하다
mime	광대/마임/무언극/흉내내다/그 배우/흉내쟁이/무언극을 하다/무언의 광대극/흉내내기 연극/광대짓을 하다/무언의 몸짓으로 나타내다
mimeo	등사판 인쇄물
mimeograph	등사판/등사판으로 인쇄하다
mimesis	의태
mimetic	의태의/의사의/모방의
mimetic diagram	모식도/모식 표시판
mimic	모방의/가짜의/흉내내는
mimic board	미믹 보드
mimicker	흉내내는 사람
mimicry	의태/흉내/모조품
miminy piminy	점잔빼는/지나치게 세련된
mimmem	모방 기억 반복 연습의
mimosa	함수초/자귀나무 따위
minacious	위협적인
minacity	위협
minar	등대의 뜻에서  작은 탑
minaret	뾰족탑
minatory	위협하는
mince	잘게 다지다/조심스레 말하다/맵시를 내며 종종 걸음으로 걷다
mince pie	민스 파이
mincemeat	잘게 썬 고기
mincer	잘게 써는 사람
mincing	점잔빼는/거드럭거리는/종종걸음치는/점잔빼며 걷는/짐짓...체하는
mincing machine	고기 써는 기계
mind	생각/의견/정신/의지/기질/기분/마음/기억/지력
mind blower	환각제/황홀한 체험
mind cure	정신 요법
mind reader	독심술을 하는 사람/남의 마음을 읽어 내는 사람
mind reading	독심술
mind spacer	환각제
mind's eye	심안/상상으로/마음의 눈
mindbender	환각제/회유하는 사람/환각제 사용자/깜짝 놀라게 하는 것
mindbending	압도적인/굉장히 어려운/깜짝 놀라게 하는/정신을 착란시키는/환각을 일으키게 하는
mindblow	흥분시키다/극도의 충격을 주다
mindblowing	압도하는/환각제의/몹시 자극적인/환각 작용을 하는
mindboggling	경탄스러운/믿기 어려울 만큼 놀라운
minded	할 마음이 있는
minder	지키는 사람
mindexpanding	정신 확장의/의식을 확대시키는/환각 상태가 되게 하는
mindexpsnder	환각제
mindful	주의 깊은/마음에 두는
mindless	부주의한/분별 없는
mindon	정신소
mindset	사고 방식/심적 경향
mindshattering	기상천외의
